worth=1.472822	[switch3a=on] 
worth=1.275972	[bulb3a=dark] 
worth=1.201513	[switch3b=on] 
worth=1.201513	[bulb2a=dark] 
worth=1.192981	[bulb3b=dark] 
worth=1.192981	[switch2c=on] 
worth=1.185428	[bulb3bState=blown] 
worth=1.157218	[bulb2aState=blown] 
worth=1.157218	[switch2a=off] 
worth=1.149210	[bulb3aState=blown] 
worth=1.104617	[bulb1b=dark] 
worth=1.079887	[bulb2bState=ok] 
worth=1.079887	[switch2b=on] 
worth=1.015986	[bulb2cState=blown] 
worth=1.015492	[bulb1cState=blown] 
worth=1.015492	[switch1c=off] 
worth=1.014149	[bulb1c=dark] 
worth=1.013277	[bulb2c=dark] 
worth=1.006170	[bulb2b=dark] 
worth=1.006170	[switch3c=off] 
