sum, 2.5822, 0.9099, t, t, xx, xx, t, t, t, xx, t, xx, t, xx, xx, xx, t, cch
max, 3.6337, 3.6337, xx, xx, t, xx, t, t, t, f, t, t, t, xx, xx, t, f, CCH
max, 1.2886, 1.2886, xx, t, t, xx, t, t, t, f, t, xx, t, xx, xx, t, t, cch
sum, 2.9977, 0.383, t, t, xx, xx, t, t, t, xx, t, xx, t, xx, xx, xx, t, cch
sum, 2.0557, 0.1739, xx, xx, xx, xx, t, t, t, xx, t, t, t, xx, xx, xx, f, cch
sum, 1.9879, 0.9916, t, xx, xx, xx, t, t, t, xx, t, t, t, xx, xx, xx, f, cch
max, 1.6468, 0.6375, t, xx, xx, xx, xx, t, t, xx, t, t, t, xx, xx, xx, f, cch
sum, 1.0597, 1.0597, xx, t, t, xx, xx, t, t, f, t, xx, xx, xx, xx, t, t, cCH
sum, 1.018, 1.018, t, xx, t, xx, t, t, t, f, t, t, t, xx, xx, t, f, cch
max, 3.7786, 3.7786, xx, t, t, xx, xx, t, t, f, t, xx, xx, xx, xx, t, t, Cch
sum, 3.8068, 3.8068, t, xx, t, xx, t, t, t, f, t, t, t, xx, xx, t, f, CCH
sum, 3.1501, 3.1501, xx, xx, t, xx, t, t, t, f, t, t, t, xx, xx, t, f, CCH
sum, 1.9219, 1.9219, t, xx, t, xx, t, t, t, f, t, t, t, xx, xx, t, f, cch
max, 1.4092, 1.4092, t, t, t, xx, t, t, t, f, t, xx, t, xx, xx, t, t, cch
sum, 2.0455, 2.0455, xx, t, t, xx, t, t, t, f, t, xx, xx, xx, xx, t, t, cch
max, 3.619, 3.619, xx, xx, t, xx, t, t, t, f, t, t, xx, xx, xx, t, f, Cch
sum, 2.8756, 0.2446, t, xx, xx, xx, t, t, t, xx, t, t, t, xx, xx, xx, f, cch
sum, 3.5836, 3.5836, xx, t, t, xx, t, t, t, f, t, xx, t, xx, xx, t, t, CCH
sum, 2.4709, 2.4709, t, t, t, xx, t, t, t, f, t, xx, t, xx, xx, t, t, cch
max, 2.3356, 2.3356, t, xx, t, xx, xx, t, t, f, t, t, t, xx, xx, t, f, cch
max, 1.5061, 0.7452, t, t, xx, xx, xx, t, t, xx, t, xx, t, xx, xx, xx, t, cch
max, 1.0072, 1.0072, t, t, t, xx, t, t, t, f, t, xx, xx, xx, xx, t, t, cch
max, 3.0931, 3.0931, t, xx, t, xx, xx, t, t, f, t, t, t, xx, xx, t, f, CCH
sum, 1.6639, 1.6639, t, xx, t, xx, t, t, t, f, t, t, t, xx, xx, t, f, cch
sum, 3.5956, 0.5876, t, t, xx, xx, xx, t, t, xx, t, xx, xx, xx, xx, xx, t, cch
max, 2.6137, 2.6137, xx, t, t, xx, t, t, t, f, t, xx, xx, xx, xx, t, t, cch
sum, 2.9107, 0.2588, t, xx, xx, xx, t, t, t, xx, t, t, xx, xx, xx, xx, f, cch
sum, 1.186, 1.186, t, xx, t, xx, t, t, t, f, t, t, xx, xx, xx, t, f, cch
max, 3.0349, 0.4699, xx, t, xx, xx, t, t, t, xx, t, xx, t, xx, xx, xx, t, cch
max, 1.123, 0.8876, t, xx, xx, xx, xx, t, t, xx, t, t, xx, xx, xx, xx, f, cch
max, 1.7473, 1.7473, t, xx, t, xx, t, t, t, f, t, t, xx, xx, xx, t, f, cch
sum, 3.9988, 0.1394, xx, xx, xx, xx, t, t, t, xx, t, t, t, xx, xx, xx, f, cch
sum, 1.9393, 1.9393, t, xx, t, xx, xx, t, t, f, t, t, t, xx, xx, t, f, cch
max, 1.0351, 0.622, t, xx, xx, xx, t, t, t, xx, t, t, xx, xx, xx, xx, f, cch
sum, 2.6431, 2.6431, t, t, t, xx, xx, t, t, f, t, xx, t, xx, xx, t, t, cch
max, 3.3802, 3.3802, t, t, t, xx, t, t, t, f, t, xx, xx, xx, xx, t, t, CCH
max, 1.9207, 1.9207, t, xx, t, xx, xx, t, t, f, t, t, t, xx, xx, t, f, cch
sum, 3.9313, 3.9313, xx, t, t, xx, t, t, t, f, t, xx, t, xx, xx, t, t, CCH
max, 2.728, 0.8517, t, xx, xx, xx, t, t, t, xx, t, t, t, xx, xx, xx, f, cch
sum, 2.6761, 0.1726, t, xx, xx, xx, xx, t, t, xx, t, t, t, xx, xx, xx, f, cch
sum, 3.4591, 0.6403, t, t, xx, xx, xx, t, t, xx, t, xx, t, xx, xx, xx, t, cch
sum, 3.6745, 3.6745, xx, t, t, xx, t, t, t, f, t, xx, t, xx, xx, t, t, CCH
sum, 2.6377, 0.1392, t, t, xx, xx, t, t, t, xx, t, xx, xx, xx, xx, xx, t, cch
sum, 2.554, 2.554, t, xx, t, xx, t, t, t, f, t, t, t, xx, xx, t, f, cch
sum, 2.8852, 0.7974, xx, xx, xx, xx, t, t, t, xx, t, t, t, xx, xx, xx, f, cch
max, 1.978, 0.2, t, xx, xx, xx, xx, t, t, xx, t, t, t, xx, xx, xx, f, cch
max, 1.7323, 1.7323, xx, t, t, xx, xx, t, t, f, t, xx, t, xx, xx, t, t, cch
sum, 2.3884, 2.3884, t, t, t, xx, xx, t, t, f, t, xx, t, xx, xx, t, t, cch
sum, 1.6762, 1.6762, xx, xx, t, xx, t, t, t, f, t, t, t, xx, xx, t, f, cCH
sum, 2.41, 2.41, t, xx, t, xx, t, t, t, f, t, t, t, xx, xx, t, f, cch
max, 2.4484, 0.4986, xx, xx, xx, xx, t, t, t, xx, t, t, t, xx, xx, xx, f, cch
sum, 1.5157, 0.7172, t, xx, xx, xx, xx, t, t, xx, t, t, xx, xx, xx, xx, f, cCH
sum, 2.4055, 2.4055, t, t, t, xx, t, t, t, f, t, xx, t, xx, xx, t, t, cch
sum, 3.4456, 3.4456, t, t, t, xx, t, t, t, f, t, xx, t, xx, xx, t, t, CCH
sum, 2.3044, 0.0595, t, t, xx, xx, xx, t, t, xx, t, xx, t, xx, xx, xx, t, cch
sum, 2.0467, 2.0467, t, t, t, xx, t, t, t, f, t, xx, t, xx, xx, t, t, cch
sum, 1.1563, 1.1563, t, xx, t, xx, t, t, t, f, t, t, xx, xx, xx, t, f, cch
