"  "	3	4	5	6	7	8	9	10	11	12	13					"Cost<=4"	"Cost > 4"						
0	110	107	117	22	25	9	2	3	1	1	0	397				"Cheap"	"Pricey"				"Model construction"	"- 3 hours trial and error"	
0.2	266	285	285	35	47	21	17	8	4	2	0	970									"1st Abduction time="	"30.7 secs"	" "
0.4	340	323	380	58	61	50	29	22	5	3	2	1273		"Chances<0.8"	"Doubtful"	2296	1953		4249		"Manaul analysis: "	"5 minutes (could be automated)"	
0.6	425	440	430	67	92	78	42	22	11	2	0	1609		"Chances>=0.8"	"Likely "	2584	3167		5751		"2nd Abductive run"	"40.11 secs"	
0.8	412	417	516	77	102	81	46	24	15	1	0	1691									"Inductive run"		
1	876	879	1016	281	339	261	186	108	75	32	7	4060		" "		4880	5120						
	2429	2451	2744	540	666	500	322	187	111	41	9												
																							
																							
																							
												" "											
