off, off, off, dark, dark, dark, b1blown
off, off, off, dark, dark, dark, b1ok
off, off, on, dark, dark, dark, b1blown
off, off, on, dark, dark, dark, b1ok
off, on, off, dark, dark, dark, b1blown
off, on, off, dark, dark, dark, b1ok
off, on, on, dark, dark, dark, b1blown
off, on, on, dark, dark, dark, b1ok
on, off, off, dark, dark, dark, b1blown
on, off, off, dark, dark, dark, b1ok
on, off, off, light, dark, light, b1ok
on, off, on, dark, dark, dark, b1blown
on, off, on, light, dark, dark, b1ok
on, on, off, dark, dark, dark, b1blown
on, on, off, dark, dark, dark, b1ok
on, on, off, light, dark, light, b1ok
on, on, off, light, light, dark, b1ok
on, on, off, light, light, light, b1ok
on, on, on, dark, dark, dark, b1blown
on, on, on, light, dark, dark, b1ok
