---------------------------------------------
Summary of N-way cross validation experiments
---------------------------------------------
	Data file: 10000 cases * 17 attributes

	Parameter: granularity = 5
	           promising = 0
	           nChanges = 2
	           skew = 20 (means: bestClass= 5.00%)


----- Trial 0: Treatments=13 -----
worthOnData=2.589504 worthOnTest=2.595503 ['from(design)/to(design)'=[41.900002..52.410000)] [reworkSaved=[0.000000..0.130000)] 
worthOnData=2.593694 worthOnTest=2.597908 ['from(design)/to(deployment)'=[1.050000..1.360000)] [reworkSaved=[0.000000..0.130000)] 
worthOnData=2.594017 worthOnTest=2.577718 ['from(programming)/to(integration)'=[25.930000..32.639999)] [reworkSaved=[0.000000..0.130000)] 
worthOnData=2.594930 worthOnTest=2.590946 ['from(programming)/to(programming)'=[119.570000..148.529999)] [reworkSaved=[0.000000..0.130000)] 
worthOnData=2.595359 worthOnTest=2.582786 ['from(requirements)/to(integration)'=[1.710000..2.200000)] [reworkSaved=[0.000000..0.130000)] 
worthOnData=2.595448 worthOnTest=2.583043 ['from(requirements)/to(deployment)'=[0.540000..0.700000)] [reworkSaved=[0.000000..0.130000)] 
worthOnData=2.596057 worthOnTest=2.599539 ['from(programming)/to(programming)'=[148.529999..203.970001)] [reworkSaved=[0.000000..0.130000)] 
worthOnData=2.597276 worthOnTest=2.576802 ['from(design)/to(integration)'=[3.120000..4.010000)] [reworkSaved=[0.000000..0.130000)] 
worthOnData=2.598254 worthOnTest=2.594504 ['from(requirements)/to(programming)'=[2.530000..3.260000)] [reworkSaved=[0.000000..0.130000)] 
worthOnData=2.598533 worthOnTest=2.584033 ['from(requirements)/to(design)'=[3.150000..4.040000)] [reworkSaved=[0.000000..0.130000)] 
worthOnData=2.599537 worthOnTest=2.597771 [reworkSaved=[0.000000..0.130000)] [reworkByPhase=coyle99] 
worthOnData=2.599734 worthOnTest=2.579526 ['from(design)/to(programming)'=[7.120000..9.080000)] [reworkSaved=[0.000000..0.130000)] 
worthOnData=2.609377 worthOnTest=2.608177 [ivv=integration] [reworkSaved=[0.000000..0.130000)] 

----- Trial 1: Treatments=15 -----
