car(2, toyota, small, yes, coup).
car(21, bmw, medium, yes, coup).
car(40, toyota, large, no, coup).
car(48, honda, small, no, coup).
car(67, benz, large, no, suv).
car(73, mitsubishi, small, yes, coup).
car(82, ford, small, yes, coup).
car(84, honda, small, no, coup).
car(86, mitsubishi, medium, no, suv).
car(95, ford, large, no, suv).
car(96, honda, small, no, coup).
car(97, mitsubishi, small, yes, coup).
car(99, toyota, small, yes, coup).
car(132, honda, small, no, coup).
car(139, benz, large, no, suv).
car(146, mitsubishi, medium, no, suv).
car(150, benz, small, yes, coup).
car(184, toyota, large, no, coup).
car(188, bmw, small, yes, coup).
car(190, ford, small, yes, coup).
car(195, toyota, small, yes, coup).
car(199, benz, large, no, suv).
car(204, honda, small, no, coup).
car(210, benz, small, yes, coup).
car(222, benz, small, yes, coup).
car(234, benz, small, yes, coup).
car(244, toyota, large, no, coup).
car(248, bmw, small, yes, coup).
car(258, benz, small, yes, coup).
car(294, benz, small, yes, coup).
car(313, mitsubishi, small, yes, coup).
car(314, mitsubishi, medium, no, suv).
car(318, benz, small, yes, coup).
car(336, honda, small, no, coup).
car(339, toyota, small, yes, coup).
car(343, benz, large, no, suv).
car(347, ford, large, no, suv).
car(350, mitsubishi, medium, no, suv).
car(366, benz, small, yes, coup).
car(373, mitsubishi, small, yes, coup).
car(377, toyota, large, no, suv).
car(405, bmw, medium, yes, coup).
car(409, mitsubishi, small, yes, coup).
car(413, toyota, large, no, suv).
car(422, mitsubishi, medium, no, suv).
car(423, toyota, small, yes, coup).
car(431, ford, large, no, suv).
car(437, toyota, large, no, suv).
car(438, benz, small, yes, coup).
car(442, ford, small, yes, coup).
car(454, ford, small, yes, coup).
car(467, ford, large, no, suv).
car(476, bmw, small, yes, coup).
car(484, toyota, large, no, coup).
car(512, bmw, small, yes, coup).
car(514, ford, small, yes, coup).
car(529, mitsubishi, small, yes, coup).
car(547, benz, large, no, suv).
car(577, mitsubishi, small, yes, coup).
car(600, honda, small, no, coup).
car(610, ford, small, yes, coup).
car(611, ford, large, no, suv).
car(614, mitsubishi, medium, no, suv).
car(626, mitsubishi, medium, no, suv).
car(632, bmw, small, yes, coup).
car(642, benz, small, yes, coup).
car(644, bmw, small, yes, coup).
car(650, mitsubishi, medium, no, suv).
car(654, benz, small, yes, coup).
car(658, ford, small, yes, coup).
car(684, honda, small, no, coup).
car(688, toyota, large, no, coup).
car(691, benz, large, no, suv).
car(695, ford, large, no, suv).
car(711, toyota, small, yes, coup).
car(714, benz, small, yes, coup).
car(716, bmw, small, yes, coup).
car(727, benz, large, no, suv).
car(729, bmw, medium, yes, coup).
car(754, ford, small, yes, coup).
car(760, toyota, large, no, coup).
car(788, bmw, small, yes, coup).
car(809, toyota, large, no, suv).
car(862, ford, small, yes, coup).
car(897, bmw, medium, yes, coup).
car(902, mitsubishi, medium, no, suv).
car(908, bmw, small, yes, coup).
car(910, ford, small, yes, coup).
car(925, mitsubishi, small, yes, coup).
car(928, toyota, large, no, coup).
car(942, benz, small, yes, coup).
car(987, toyota, small, yes, coup).
car(989, toyota, large, no, suv).
car(996, mitsubishi, small, yes, coup).
car(1001, bmw, medium, yes, coup).
car(1005, ford, large, no, suv).
car(1010, mitsubishi, medium, no, suv).
car(1011, toyota, small, yes, coup).
car(1025, toyota, large, no, suv).
car(1033, mitsubishi, small, yes, coup).
car(1034, mitsubishi, medium, no, suv).
car(1035, toyota, small, yes, coup).
car(1041, bmw, medium, yes, coup).
car(1057, mitsubishi, small, yes, coup).
car(1060, toyota, large, no, coup).
car(1074, benz, small, yes, coup).
car(1087, benz, large, no, suv).
car(1115, ford, large, no, suv).
car(1123, benz, large, no, suv).
car(1135, benz, large, no, suv).
car(1159, benz, large, no, suv).
car(1160, bmw, small, yes, coup).
car(1175, ford, large, no, suv).
car(1216, toyota, large, no, coup).
car(1235, ford, large, no, suv).
car(1244, bmw, small, yes, coup).
car(1246, ford, small, yes, coup).
car(1249, mitsubishi, small, yes, coup).
car(1254, benz, small, yes, coup).
car(1265, toyota, large, no, suv).
car(1279, benz, large, no, suv).
car(1281, bmw, medium, yes, coup).
car(1300, toyota, large, no, coup).
car(1304, bmw, small, yes, coup).
car(1307, ford, large, no, suv).
car(1314, benz, small, yes, coup).
car(1317, bmw, medium, yes, coup).
car(1321, mitsubishi, small, yes, coup).
car(1325, toyota, large, no, suv).
car(1341, bmw, medium, yes, coup).
car(1354, ford, small, yes, coup).
car(1368, honda, small, no, coup).
car(1370, mitsubishi, medium, no, suv).
car(1387, benz, large, no, suv).
car(1395, toyota, small, yes, coup).
car(1404, honda, small, no, coup).
car(1410, benz, small, yes, coup).
car(1435, benz, large, no, suv).
car(1448, bmw, small, yes, coup).
car(1463, ford, large, no, suv).
car(1480, toyota, large, no, coup).
car(1508, bmw, small, yes, coup).
car(1515, toyota, small, yes, coup).
car(1557, bmw, medium, yes, coup).
car(1570, ford, small, yes, coup).
car(1585, mitsubishi, small, yes, coup).
car(1589, toyota, large, no, suv).
car(1591, benz, large, no, suv).
car(1598, mitsubishi, medium, no, suv).
car(1621, mitsubishi, small, yes, coup).
car(1628, bmw, small, yes, coup).
car(1641, bmw, medium, yes, coup).
car(1642, ford, small, yes, coup).
car(1678, ford, small, yes, coup).
car(1685, toyota, large, no, suv).
car(1703, ford, large, no, suv).
car(1717, mitsubishi, small, yes, coup).
car(1719, toyota, small, yes, coup).
car(1730, mitsubishi, medium, no, suv).
car(1735, benz, large, no, suv).
