car(1, mitsubishi, small, yes, coup).
car(9, mitsubishi, medium, no, suv).
car(23, ford, large, no, suv).
car(24, honda, small, no, coup).
car(34, ford, small, yes, coup).
car(69, bmw, medium, yes, coup).
car(98, mitsubishi, medium, no, suv).
car(102, benz, small, yes, coup).
car(111, toyota, small, yes, coup).
car(115, benz, large, no, suv).
car(125, toyota, large, no, suv).
car(152, bmw, small, yes, coup).
car(158, mitsubishi, medium, no, suv).
car(159, toyota, small, yes, coup).
car(171, toyota, small, yes, coup).
car(193, mitsubishi, small, yes, coup).
car(216, honda, small, no, coup).
car(221, toyota, large, no, suv).
car(239, ford, large, no, suv).
car(273, bmw, medium, yes, coup).
car(296, bmw, small, yes, coup).
car(298, ford, small, yes, coup).
car(307, benz, large, no, suv).
car(308, bmw, small, yes, coup).
car(312, honda, small, no, coup).
car(316, toyota, large, no, coup).
car(321, bmw, medium, yes, coup).
car(333, bmw, medium, yes, coup).
car(337, mitsubishi, small, yes, coup).
car(345, bmw, medium, yes, coup).
car(353, toyota, large, no, suv).
car(357, bmw, medium, yes, coup).
car(362, mitsubishi, medium, no, suv).
car(365, toyota, large, no, suv).
car(367, benz, large, no, suv).
car(375, toyota, small, yes, coup).
car(396, honda, small, no, coup).
car(415, benz, large, no, suv).
car(424, toyota, large, no, coup).
car(433, mitsubishi, small, yes, coup).
car(434, mitsubishi, medium, no, suv).
car(435, toyota, small, yes, coup).
car(440, bmw, small, yes, coup).
car(444, honda, small, no, coup).
car(452, bmw, small, yes, coup).
car(458, mitsubishi, medium, no, suv).
car(483, toyota, small, yes, coup).
car(486, benz, small, yes, coup).
car(503, ford, large, no, suv).
car(505, mitsubishi, small, yes, coup).
car(507, toyota, small, yes, coup).
car(517, mitsubishi, small, yes, coup).
car(524, bmw, small, yes, coup).
car(527, ford, large, no, suv).
car(528, honda, small, no, coup).
car(548, bmw, small, yes, coup).
car(563, ford, large, no, suv).
car(576, honda, small, no, coup).
car(595, benz, large, no, suv).
car(603, toyota, small, yes, coup).
car(617, toyota, large, no, suv).
car(621, bmw, medium, yes, coup).
car(628, toyota, large, no, coup).
car(652, toyota, large, no, coup).
