car(3, toyota, large, no, coup).
car(10, ford, large, no, suv).
car(12, toyota, large, no, suv).
car(16, toyota, large, no, coup).
car(29, toyota, large, no, suv).
car(35, ford, large, no, suv).
car(44, bmw, small, yes, coup).
car(50, mitsubishi, medium, no, suv).
car(53, toyota, large, no, suv).
car(58, ford, small, yes, coup).
car(59, ford, large, no, suv).
car(78, benz, small, yes, coup).
car(89, toyota, large, no, suv).
car(105, bmw, medium, yes, coup).
car(113, toyota, large, no, suv).
car(142, ford, small, yes, coup).
car(161, toyota, large, no, suv).
car(162, benz, small, yes, coup).
car(163, benz, large, no, suv).
car(178, ford, small, yes, coup).
car(179, ford, large, no, suv).
car(183, toyota, small, yes, coup).
car(185, toyota, large, no, suv).
car(202, ford, small, yes, coup).
car(217, mitsubishi, small, yes, coup).
car(246, benz, small, yes, coup).
car(254, mitsubishi, medium, no, suv).
car(261, bmw, medium, yes, coup).
car(265, mitsubishi, small, yes, coup).
car(269, toyota, large, no, suv).
car(271, benz, large, no, suv).
car(284, bmw, small, yes, coup).
car(322, ford, small, yes, coup).
car(329, toyota, large, no, suv).
car(338, mitsubishi, medium, no, suv).
car(372, honda, small, no, coup).
car(384, honda, small, no, coup).
car(387, toyota, small, yes, coup).
car(400, toyota, large, no, coup).
car(436, toyota, large, no, coup).
car(447, toyota, small, yes, coup).
car(450, benz, small, yes, coup).
car(456, honda, small, no, coup).
car(473, toyota, large, no, suv).
car(487, benz, large, no, suv).
car(490, ford, small, yes, coup).
car(495, toyota, small, yes, coup).
car(511, benz, large, no, suv).
car(522, benz, small, yes, coup).
car(525, bmw, medium, yes, coup).
car(550, ford, small, yes, coup).
car(559, benz, large, no, suv).
car(560, bmw, small, yes, coup).
car(568, toyota, large, no, coup).
car(590, mitsubishi, medium, no, suv).
car(616, toyota, large, no, coup).
car(629, toyota, large, no, suv).
car(635, ford, large, no, suv).
car(641, toyota, large, no, suv).
car(645, bmw, medium, yes, coup).
car(646, ford, small, yes, coup).
car(651, toyota, small, yes, coup).
car(657, bmw, medium, yes, coup).
car(661, mitsubishi, small, yes, coup).
car(662, mitsubishi, medium, no, suv).
car(663, toyota, small, yes, coup).
car(668, bmw, small, yes, coup).
car(669, bmw, medium, yes, coup).
car(686, mitsubishi, medium, no, suv).
car(698, mitsubishi, medium, no, suv).
car(707, ford, large, no, suv).
car(717, bmw, medium, yes, coup).
car(745, mitsubishi, small, yes, coup).
car(758, mitsubishi, medium, no, suv).
car(767, ford, large, no, suv).
car(772, toyota, large, no, coup).
car(775, benz, large, no, suv).
car(778, ford, small, yes, coup).
car(793, mitsubishi, small, yes, coup).
car(801, bmw, medium, yes, coup).
car(802, ford, small, yes, coup).
car(816, honda, small, no, coup).
car(846, benz, small, yes, coup).
car(866, mitsubishi, medium, no, suv).
car(885, bmw, medium, yes, coup).
car(886, ford, small, yes, coup).
car(891, toyota, small, yes, coup).
car(893, toyota, large, no, suv).
car(895, benz, large, no, suv).
car(916, toyota, large, no, coup).
car(917, toyota, large, no, suv).
car(947, ford, large, no, suv).
car(954, benz, small, yes, coup).
car(956, bmw, small, yes, coup).
car(965, toyota, large, no, suv).
car(973, mitsubishi, small, yes, coup).
car(1006, toyota, large, no, suv).
car(1026, benz, small, yes, coup).
car(1043, ford, large, no, suv).
car(1056, honda, small, no, coup).
car(1069, mitsubishi, small, yes, coup).
car(1070, mitsubishi, medium, no, suv).
car(1077, bmw, medium, yes, coup).
car(1078, ford, small, yes, coup).
car(1082, mitsubishi, medium, no, suv).
car(1100, bmw, small, yes, coup).
car(1105, mitsubishi, small, yes, coup).
car(1109, toyota, large, no, suv).
car(1149, bmw, medium, yes, coup).
car(1166, mitsubishi, medium, no, suv).
car(1185, bmw, medium, yes, coup).
car(1188, honda, small, no, coup).
car(1194, benz, small, yes, coup).
car(1202, mitsubishi, medium, no, suv).
car(1227, toyota, small, yes, coup).
car(1229, toyota, large, no, suv).
car(1240, toyota, large, no, coup).
car(1258, ford, small, yes, coup).
car(1266, benz, small, yes, coup).
car(1301, toyota, large, no, suv).
car(1305, bmw, medium, yes, coup).
car(1322, mitsubishi, medium, no, suv).
car(1334, mitsubishi, medium, no, suv).
car(1375, benz, large, no, suv).
car(1380, honda, small, no, coup).
car(1418, mitsubishi, medium, no, suv).
car(1423, benz, large, no, suv).
car(1433, toyota, large, no, suv).
car(1444, toyota, large, no, coup).
car(1457, toyota, large, no, suv).
car(1462, ford, small, yes, coup).
car(1466, mitsubishi, medium, no, suv).
car(1475, ford, large, no, suv).
car(1479, toyota, small, yes, coup).
car(1505, toyota, large, no, suv).
car(1528, toyota, large, no, coup).
car(1532, bmw, small, yes, coup).
car(1536, honda, small, no, coup).
