car(14, mitsubishi, medium, no, suv).
car(31, benz, large, no, suv).
car(43, benz, large, no, suv).
car(47, ford, large, no, suv).
car(52, toyota, large, no, coup).
car(54, benz, small, yes, coup).
car(56, bmw, small, yes, coup).
car(65, toyota, large, no, suv).
car(88, toyota, large, no, coup).
car(92, bmw, small, yes, coup).
car(93, bmw, medium, yes, coup).
car(100, toyota, large, no, coup).
car(101, toyota, large, no, suv).
car(116, bmw, small, yes, coup).
car(122, mitsubishi, medium, no, suv).
car(137, toyota, large, no, suv).
car(153, bmw, medium, yes, coup).
car(167, ford, large, no, suv).
car(207, toyota, small, yes, coup).
car(225, bmw, medium, yes, coup).
car(227, ford, large, no, suv).
car(232, toyota, large, no, coup).
car(266, mitsubishi, medium, no, suv).
car(278, mitsubishi, medium, no, suv).
car(279, toyota, small, yes, coup).
car(280, toyota, large, no, coup).
car(281, toyota, large, no, suv).
car(292, toyota, large, no, coup).
car(297, bmw, medium, yes, coup).
car(300, honda, small, no, coup).
car(325, mitsubishi, small, yes, coup).
car(331, benz, large, no, suv).
car(340, toyota, large, no, coup).
car(351, toyota, small, yes, coup).
car(352, toyota, large, no, coup).
car(354, benz, small, yes, coup).
car(364, toyota, large, no, coup).
car(370, ford, small, yes, coup).
car(379, benz, large, no, suv).
car(383, ford, large, no, suv).
car(390, benz, small, yes, coup).
car(393, bmw, medium, yes, coup).
car(402, benz, small, yes, coup).
car(426, benz, small, yes, coup).
car(427, benz, large, no, suv).
car(428, bmw, small, yes, coup).
car(441, bmw, medium, yes, coup).
car(457, mitsubishi, small, yes, coup).
car(460, toyota, large, no, coup).
car(462, benz, small, yes, coup).
car(464, bmw, small, yes, coup).
car(472, toyota, large, no, coup).
car(475, benz, large, no, suv).
car(477, bmw, medium, yes, coup).
car(492, honda, small, no, coup).
car(516, honda, small, no, coup).
car(526, ford, small, yes, coup).
car(531, toyota, small, yes, coup).
car(537, bmw, medium, yes, coup).
car(538, ford, small, yes, coup).
car(539, ford, large, no, suv).
car(543, toyota, small, yes, coup).
car(553, mitsubishi, small, yes, coup).
car(557, toyota, large, no, suv).
car(571, benz, large, no, suv).
car(587, ford, large, no, suv).
car(591, toyota, small, yes, coup).
car(593, toyota, large, no, suv).
car(601, mitsubishi, small, yes, coup).
car(627, toyota, small, yes, coup).
car(631, benz, large, no, suv).
car(634, ford, small, yes, coup).
car(637, mitsubishi, small, yes, coup).
car(655, benz, large, no, suv).
car(667, benz, large, no, suv).
car(681, bmw, medium, yes, coup).
car(685, mitsubishi, small, yes, coup).
car(706, ford, small, yes, coup).
car(709, mitsubishi, small, yes, coup).
car(712, toyota, large, no, coup).
car(713, toyota, large, no, suv).
car(715, benz, large, no, suv).
car(720, honda, small, no, coup).
car(728, bmw, small, yes, coup).
car(734, mitsubishi, medium, no, suv).
car(737, toyota, large, no, suv).
car(747, toyota, small, yes, coup).
car(752, bmw, small, yes, coup).
car(755, ford, large, no, suv).
car(777, bmw, medium, yes, coup).
car(789, bmw, medium, yes, coup).
car(792, honda, small, no, coup).
car(804, honda, small, no, coup).
car(805, mitsubishi, small, yes, coup).
car(811, benz, large, no, suv).
car(814, ford, small, yes, coup).
car(827, ford, large, no, suv).
car(832, toyota, large, no, coup).
car(833, toyota, large, no, suv).
car(835, benz, large, no, suv).
car(836, bmw, small, yes, coup).
car(845, toyota, large, no, suv).
car(868, toyota, large, no, coup).
car(873, bmw, medium, yes, coup).
car(892, toyota, large, no, coup).
car(905, toyota, large, no, suv).
car(911, ford, large, no, suv).
car(923, ford, large, no, suv).
car(933, bmw, medium, yes, coup).
car(939, toyota, small, yes, coup).
car(940, toyota, large, no, coup).
car(949, mitsubishi, small, yes, coup).
car(975, toyota, small, yes, coup).
car(983, ford, large, no, suv).
car(988, toyota, large, no, coup).
car(992, bmw, small, yes, coup).
car(995, honda, small, no, coup).
car(1000, bmw, small, yes, coup).
car(1007, mitsubishi, medium, no, suv).
car(1008, ford, large, no, suv).
car(1020, honda, small, no, coup).
car(1027, benz, large, no, suv).
car(1050, benz, small, yes, coup).
car(1052, bmw, small, yes, coup).
car(1063, benz, large, no, suv).
car(1080, honda, small, no, coup).
car(1091, ford, large, no, suv).
car(1095, toyota, small, yes, coup).
car(1113, bmw, medium, yes, coup).
car(1114, ford, small, yes, coup).
car(1124, bmw, small, yes, coup).
car(1129, mitsubishi, small, yes, coup).
car(1133, toyota, large, no, suv).
car(1138, ford, small, yes, coup).
car(1147, benz, large, no, suv).
car(1148, bmw, small, yes, coup).
car(1154, mitsubishi, medium, no, suv).
car(1168, toyota, large, no, coup).
car(1174, ford, small, yes, coup).
car(1176, honda, small, no, coup).
car(1177, mitsubishi, small, yes, coup).
car(1182, benz, small, yes, coup).
car(1191, toyota, small, yes, coup).
car(1193, toyota, large, no, suv).
car(1218, benz, small, yes, coup).
car(1224, honda, small, no, coup).
car(1243, benz, large, no, suv).
car(1250, mitsubishi, medium, no, suv).
car(1253, toyota, large, no, suv).
car(1262, mitsubishi, medium, no, suv).
car(1263, toyota, small, yes, coup).
car(1267, benz, large, no, suv).
car(1288, toyota, large, no, coup).
car(1297, mitsubishi, small, yes, coup).
car(1329, bmw, medium, yes, coup).
car(1330, ford, small, yes, coup).
car(1340, bmw, small, yes, coup).
car(1342, ford, small, yes, coup).
car(1344, honda, small, no, coup).
car(1348, toyota, large, no, coup).
car(1357, mitsubishi, small, yes, coup).
car(1378, ford, small, yes, coup).
car(1385, toyota, large, no, suv).
car(1406, mitsubishi, medium, no, suv).
car(1408, toyota, large, no, coup).
car(1420, toyota, large, no, coup).
car(1422, benz, small, yes, coup).
car(1434, benz, small, yes, coup).
car(1449, bmw, medium, yes, coup).
car(1450, ford, small, yes, coup).
car(1454, mitsubishi, medium, no, suv).
car(1458, benz, small, yes, coup).
car(1465, mitsubishi, small, yes, coup).
car(1476, honda, small, no, coup).
car(1478, mitsubishi, medium, no, suv).
car(1481, toyota, large, no, suv).
car(1486, ford, small, yes, coup).
car(1491, toyota, small, yes, coup).
car(1506, benz, small, yes, coup).
car(1510, ford, small, yes, coup).
car(1511, ford, large, no, suv).
car(1516, toyota, large, no, coup).
car(1517, toyota, large, no, suv).
car(1546, ford, small, yes, coup).
car(1549, mitsubishi, small, yes, coup).
car(1554, benz, small, yes, coup).
car(1556, bmw, small, yes, coup).
car(1563, toyota, small, yes, coup).
car(1565, toyota, large, no, suv).
car(1569, bmw, medium, yes, coup).
car(1572, honda, small, no, coup).
car(1578, benz, small, yes, coup).
car(1586, mitsubishi, medium, no, suv).
car(1605, bmw, medium, yes, coup).
car(1625, toyota, large, no, suv).
car(1633, mitsubishi, small, yes, coup).
car(1657, mitsubishi, small, yes, coup).
car(1664, bmw, small, yes, coup).
car(1666, ford, small, yes, coup).
car(1668, honda, small, no, coup).
car(1676, bmw, small, yes, coup).
car(1677, bmw, medium, yes, coup).
car(1688, bmw, small, yes, coup).
car(1692, honda, small, no, coup).
car(1695, toyota, small, yes, coup).
car(1704, honda, small, no, coup).
car(1740, honda, small, no, coup).
car(1751, ford, large, no, suv).
car(1771, benz, large, no, suv).
car(1774, ford, small, yes, coup).
car(1785, bmw, medium, yes, coup).
car(1786, ford, small, yes, coup).
car(1793, toyota, large, no, suv).
car(1804, toyota, large, no, coup).
car(1811, ford, large, no, suv).
car(1817, toyota, large, no, suv).
car(1848, honda, small, no, coup).
car(1853, toyota, large, no, suv).
car(1862, mitsubishi, medium, no, suv).
car(1874, mitsubishi, medium, no, suv).
car(1891, benz, large, no, suv).
car(1894, ford, small, yes, coup).
car(1899, toyota, small, yes, coup).
car(1905, bmw, medium, yes, coup).
car(1906, ford, small, yes, coup).
car(1911, toyota, small, yes, coup).
car(1927, benz, large, no, suv).
car(1932, honda, small, no, coup).
car(1938, benz, small, yes, coup).
car(1939, benz, large, no, suv).
car(1973, toyota, large, no, suv).
car(1998, ford, small, yes, coup).
car(2027, ford, large, no, suv).
car(2031, toyota, small, yes, coup).
car(2036, bmw, small, yes, coup).
car(2037, bmw, medium, yes, coup).
car(2039, ford, large, no, suv).
car(2072, bmw, small, yes, coup).
car(2144, bmw, small, yes, coup).
car(2165, toyota, large, no, suv).
car(2187, toyota, small, yes, coup).
car(2189, toyota, large, no, suv).
car(2191, benz, large, no, suv).
car(2193, bmw, medium, yes, coup).
car(2210, mitsubishi, medium, no, suv).
car(2212, toyota, large, no, coup).
car(2215, benz, large, no, suv).
car(2242, ford, small, yes, coup).
car(2270, mitsubishi, medium, no, suv).
car(2279, ford, large, no, suv).
car(2284, toyota, large, no, coup).
car(2306, mitsubishi, medium, no, suv).
car(2311, benz, large, no, suv).
car(2320, toyota, large, no, coup).
car(2321, toyota, large, no, suv).
car(2346, benz, small, yes, coup).
car(2355, toyota, small, yes, coup).
car(2365, mitsubishi, small, yes, coup).
car(2378, mitsubishi, medium, no, suv).
car(2397, bmw, medium, yes, coup).
car(2398, ford, small, yes, coup).
car(2416, toyota, large, no, coup).
car(2430, benz, small, yes, coup).
car(2431, benz, large, no, suv).
car(2435, ford, large, no, suv).
car(2441, toyota, large, no, suv).
car(2443, benz, large, no, suv).
car(2477, toyota, large, no, suv).
car(2486, mitsubishi, medium, no, suv).
car(2493, bmw, medium, yes, coup).
car(2515, benz, large, no, suv).
car(2525, toyota, large, no, suv).
car(2528, bmw, small, yes, coup).
car(2534, mitsubishi, medium, no, suv).
car(2536, toyota, large, no, coup).
car(2541, bmw, medium, yes, coup).
car(2544, honda, small, no, coup).
car(2547, toyota, small, yes, coup).
car(2554, ford, small, yes, coup).
car(2578, ford, small, yes, coup).
car(2624, bmw, small, yes, coup).
car(2632, toyota, large, no, coup).
car(2635, benz, large, no, suv).
car(2656, toyota, large, no, coup).
car(2665, mitsubishi, small, yes, coup).
car(2699, ford, large, no, suv).
car(2710, ford, small, yes, coup).
car(2736, honda, small, no, coup).
car(2745, bmw, medium, yes, coup).
car(2750, mitsubishi, medium, no, suv).
car(2763, toyota, small, yes, coup).
car(2774, mitsubishi, medium, no, suv).
car(2784, honda, small, no, coup).
car(2785, mitsubishi, small, yes, coup).
car(2793, bmw, medium, yes, coup).
car(2801, toyota, large, no, suv).
car(2824, toyota, large, no, coup).
car(2868, honda, small, no, coup).
car(2874, benz, small, yes, coup).
car(2884, toyota, large, no, coup).
car(2887, benz, large, no, suv).
car(2941, mitsubishi, small, yes, coup).
car(2957, toyota, large, no, suv).
car(2958, benz, small, yes, coup).
car(2961, bmw, medium, yes, coup).
car(3003, toyota, small, yes, coup).
car(3008, bmw, small, yes, coup).
car(3010, ford, small, yes, coup).
car(3013, mitsubishi, small, yes, coup).
car(3024, honda, small, no, coup).
car(3042, benz, small, yes, coup).
car(3043, benz, large, no, suv).
car(3060, honda, small, no, coup).
car(3065, toyota, large, no, suv).
car(3077, toyota, large, no, suv).
car(3081, bmw, medium, yes, coup).
car(3083, ford, large, no, suv).
car(3095, ford, large, no, suv).
car(3099, toyota, small, yes, coup).
car(3105, bmw, medium, yes, coup).
car(3125, toyota, large, no, suv).
car(3130, ford, small, yes, coup).
car(3145, mitsubishi, small, yes, coup).
car(3148, toyota, large, no, coup).
car(3149, toyota, large, no, suv).
car(3158, mitsubishi, medium, no, suv).
car(3165, bmw, medium, yes, coup).
car(3189, bmw, medium, yes, coup).
car(3196, toyota, large, no, coup).
car(3214, ford, small, yes, coup).
car(3226, ford, small, yes, coup).
car(3232, toyota, large, no, coup).
car(3243, toyota, small, yes, coup).
car(3250, ford, small, yes, coup).
car(3256, toyota, large, no, coup).
car(3257, toyota, large, no, suv).
car(3263, ford, large, no, suv).
car(3269, toyota, large, no, suv).
car(3281, toyota, large, no, suv).
car(3286, ford, small, yes, coup).
car(3287, ford, large, no, suv).
car(3314, mitsubishi, medium, no, suv).
car(3321, bmw, medium, yes, coup).
car(3343, benz, large, no, suv).
car(3361, mitsubishi, small, yes, coup).
car(3369, bmw, medium, yes, coup).
car(3370, ford, small, yes, coup).
car(3379, benz, large, no, suv).
car(3390, benz, small, yes, coup).
car(3397, mitsubishi, small, yes, coup).
car(3401, toyota, large, no, suv).
car(3404, bmw, small, yes, coup).
car(3407, ford, large, no, suv).
car(3435, toyota, small, yes, coup).
car(3443, ford, large, no, suv).
car(3469, mitsubishi, small, yes, coup).
car(3473, toyota, large, no, suv).
car(3484, toyota, large, no, coup).
car(3498, benz, small, yes, coup).
car(3503, ford, large, no, suv).
car(3514, ford, small, yes, coup).
car(3522, benz, small, yes, coup).
car(3548, bmw, small, yes, coup).
car(3553, mitsubishi, small, yes, coup).
car(3555, toyota, small, yes, coup).
car(3556, toyota, large, no, coup).
car(3557, toyota, large, no, suv).
car(3566, mitsubishi, medium, no, suv).
car(3575, ford, large, no, suv).
car(3579, toyota, small, yes, coup).
car(3583, benz, large, no, suv).
car(3590, mitsubishi, medium, no, suv).
car(3615, toyota, small, yes, coup).
car(3629, toyota, large, no, suv).
car(3646, ford, small, yes, coup).
car(3653, toyota, large, no, suv).
car(3655, benz, large, no, suv).
car(3659, ford, large, no, suv).
car(3671, ford, large, no, suv).
car(3672, honda, small, no, coup).
car(3696, honda, small, no, coup).
car(3704, bmw, small, yes, coup).
car(3710, mitsubishi, medium, no, suv).
car(3725, toyota, large, no, suv).
car(3735, toyota, small, yes, coup).
car(3792, honda, small, no, coup).
car(3814, ford, small, yes, coup).
car(3830, mitsubishi, medium, no, suv).
car(3831, toyota, small, yes, coup).
car(3832, toyota, large, no, coup).
car(3836, bmw, small, yes, coup).
car(3843, toyota, small, yes, coup).
car(3848, bmw, small, yes, coup).
car(3850, ford, small, yes, coup).
car(3888, honda, small, no, coup).
car(3894, benz, small, yes, coup).
car(3903, toyota, small, yes, coup).
car(3906, benz, small, yes, coup).
car(3909, bmw, medium, yes, coup).
car(3927, toyota, small, yes, coup).
car(3933, bmw, medium, yes, coup).
car(3939, toyota, small, yes, coup).
car(3952, toyota, large, no, coup).
car(3961, mitsubishi, small, yes, coup).
car(3963, toyota, small, yes, coup).
car(3964, toyota, large, no, coup).
car(3974, mitsubishi, medium, no, suv).
car(3981, bmw, medium, yes, coup).
car(3990, ford, small, yes, coup).
car(4005, bmw, medium, yes, coup).
car(4006, ford, small, yes, coup).
car(4024, toyota, large, no, coup).
car(4046, mitsubishi, medium, no, suv).
car(4048, toyota, large, no, coup).
car(4058, mitsubishi, medium, no, suv).
car(4059, toyota, small, yes, coup).
car(4082, mitsubishi, medium, no, suv).
car(4091, ford, large, no, suv).
car(4107, toyota, small, yes, coup).
car(4116, honda, small, no, coup).
car(4117, mitsubishi, small, yes, coup).
car(4124, bmw, small, yes, coup).
car(4143, toyota, small, yes, coup).
car(4150, ford, small, yes, coup).
car(4154, mitsubishi, medium, no, suv).
car(4156, toyota, large, no, coup).
car(4157, toyota, large, no, suv).
car(4175, ford, large, no, suv).
car(4177, mitsubishi, small, yes, coup).
car(4184, bmw, small, yes, coup).
car(4185, bmw, medium, yes, coup).
car(4192, toyota, large, no, coup).
car(4203, toyota, small, yes, coup).
car(4216, toyota, large, no, coup).
car(4221, bmw, medium, yes, coup).
car(4226, mitsubishi, medium, no, suv).
car(4241, toyota, large, no, suv).
car(4247, ford, large, no, suv).
car(4254, benz, small, yes, coup).
car(4263, toyota, small, yes, coup).
car(4288, toyota, large, no, coup).
car(4315, benz, large, no, suv).
car(4316, bmw, small, yes, coup).
car(4329, bmw, medium, yes, coup).
car(4373, toyota, large, no, suv).
car(4378, ford, small, yes, coup).
car(4384, toyota, large, no, coup).
car(4395, toyota, small, yes, coup).
car(4396, toyota, large, no, coup).
car(4400, bmw, small, yes, coup).
car(4401, bmw, medium, yes, coup).
car(4408, toyota, large, no, coup).
car(4413, bmw, medium, yes, coup).
car(4414, ford, small, yes, coup).
car(4418, mitsubishi, medium, no, suv).
car(4425, bmw, medium, yes, coup).
car(4427, ford, large, no, suv).
car(4469, toyota, large, no, suv).
car(4480, toyota, large, no, coup).
car(4491, toyota, small, yes, coup).
car(4494, benz, small, yes, coup).
car(4507, benz, large, no, suv).
car(4521, bmw, medium, yes, coup).
car(4523, ford, large, no, suv).
car(4526, mitsubishi, medium, no, suv).
car(4535, ford, large, no, suv).
