car(4, benz, small, yes, coup).
car(7, ford, small, yes, coup).
car(8, honda, small, no, coup).
car(32, bmw, small, yes, coup).
car(37, mitsubishi, small, yes, coup).
car(38, mitsubishi, medium, no, suv).
car(55, benz, large, no, suv).
car(68, bmw, small, yes, coup).
car(72, honda, small, no, coup).
car(77, toyota, large, no, suv).
car(80, bmw, small, yes, coup).
car(83, ford, large, no, suv).
car(117, bmw, medium, yes, coup).
car(118, ford, small, yes, coup).
car(119, ford, large, no, suv).
car(121, mitsubishi, small, yes, coup).
car(134, mitsubishi, medium, no, suv).
car(135, toyota, small, yes, coup).
car(140, bmw, small, yes, coup).
car(145, mitsubishi, small, yes, coup).
car(148, toyota, large, no, coup).
car(166, ford, small, yes, coup).
car(170, mitsubishi, medium, no, suv).
car(172, toyota, large, no, coup).
car(174, benz, small, yes, coup).
car(175, benz, large, no, suv).
car(176, bmw, small, yes, coup).
car(177, bmw, medium, yes, coup).
car(181, mitsubishi, small, yes, coup).
car(186, benz, small, yes, coup).
car(212, bmw, small, yes, coup).
car(215, ford, large, no, suv).
car(218, mitsubishi, medium, no, suv).
car(220, toyota, large, no, coup).
car(241, mitsubishi, small, yes, coup).
car(242, mitsubishi, medium, no, suv).
car(253, mitsubishi, small, yes, coup).
car(260, bmw, small, yes, coup).
car(282, benz, small, yes, coup).
car(283, benz, large, no, suv).
car(286, ford, small, yes, coup).
car(306, benz, small, yes, coup).
car(311, ford, large, no, suv).
car(320, bmw, small, yes, coup).
car(324, honda, small, no, coup).
car(327, toyota, small, yes, coup).
car(349, mitsubishi, small, yes, coup).
car(359, ford, large, no, suv).
car(371, ford, large, no, suv).
car(380, bmw, small, yes, coup).
car(392, bmw, small, yes, coup).
car(401, toyota, large, no, suv).
car(416, bmw, small, yes, coup).
car(419, ford, large, no, suv).
car(430, ford, small, yes, coup).
car(453, bmw, medium, yes, coup).
car(488, bmw, small, yes, coup).
car(501, bmw, medium, yes, coup).
car(508, toyota, large, no, coup).
car(519, toyota, small, yes, coup).
car(530, mitsubishi, medium, no, suv).
car(540, honda, small, no, coup).
car(545, toyota, large, no, suv).
car(556, toyota, large, no, coup).
car(562, ford, small, yes, coup).
car(572, bmw, small, yes, coup).
car(573, bmw, medium, yes, coup).
car(579, toyota, small, yes, coup).
car(581, toyota, large, no, suv).
car(583, benz, large, no, suv).
car(585, bmw, medium, yes, coup).
car(592, toyota, large, no, coup).
car(604, toyota, large, no, coup).
car(606, benz, small, yes, coup).
car(609, bmw, medium, yes, coup).
car(612, honda, small, no, coup).
car(624, honda, small, no, coup).
car(653, toyota, large, no, suv).
car(656, bmw, small, yes, coup).
car(665, toyota, large, no, suv).
car(676, toyota, large, no, coup).
car(687, toyota, small, yes, coup).
car(696, honda, small, no, coup).
car(704, bmw, small, yes, coup).
car(708, honda, small, no, coup).
car(721, mitsubishi, small, yes, coup).
car(725, toyota, large, no, suv).
car(741, bmw, medium, yes, coup).
car(773, toyota, large, no, suv).
car(779, ford, large, no, suv).
car(786, benz, small, yes, coup).
car(806, mitsubishi, medium, no, suv).
car(813, bmw, medium, yes, coup).
car(821, toyota, large, no, suv).
car(824, bmw, small, yes, coup).
