car(17, toyota, large, no, suv).
car(46, ford, small, yes, coup).
car(60, honda, small, no, coup).
car(62, mitsubishi, medium, no, suv).
car(76, toyota, large, no, coup).
car(81, bmw, medium, yes, coup).
car(85, mitsubishi, small, yes, coup).
car(87, toyota, small, yes, coup).
car(103, benz, large, no, suv).
car(112, toyota, large, no, coup).
car(128, bmw, small, yes, coup).
car(129, bmw, medium, yes, coup).
car(136, toyota, large, no, coup).
car(151, benz, large, no, suv).
car(154, ford, small, yes, coup).
car(165, bmw, medium, yes, coup).
car(191, ford, large, no, suv).
car(196, toyota, large, no, coup).
car(198, benz, small, yes, coup).
car(203, ford, large, no, suv).
car(209, toyota, large, no, suv).
car(213, bmw, medium, yes, coup).
car(214, ford, small, yes, coup).
car(219, toyota, small, yes, coup).
car(226, ford, small, yes, coup).
car(228, honda, small, no, coup).
car(229, mitsubishi, small, yes, coup).
car(233, toyota, large, no, suv).
car(238, ford, small, yes, coup).
car(240, honda, small, no, coup).
car(249, bmw, medium, yes, coup).
car(251, ford, large, no, suv).
car(277, mitsubishi, small, yes, coup).
car(287, ford, large, no, suv).
car(288, honda, small, no, coup).
car(291, toyota, small, yes, coup).
car(305, toyota, large, no, suv).
car(309, bmw, medium, yes, coup).
car(332, bmw, small, yes, coup).
car(341, toyota, large, no, suv).
car(342, benz, small, yes, coup).
car(356, bmw, small, yes, coup).
car(361, mitsubishi, small, yes, coup).
car(363, toyota, small, yes, coup).
car(369, bmw, medium, yes, coup).
car(374, mitsubishi, medium, no, suv).
car(376, toyota, large, no, coup).
car(378, benz, small, yes, coup).
car(386, mitsubishi, medium, no, suv).
car(397, mitsubishi, small, yes, coup).
car(412, toyota, large, no, coup).
car(417, bmw, medium, yes, coup).
car(420, honda, small, no, coup).
car(432, honda, small, no, coup).
car(451, benz, large, no, suv).
car(455, ford, large, no, suv).
car(463, benz, large, no, suv).
car(466, ford, small, yes, coup).
car(474, benz, small, yes, coup).
car(481, mitsubishi, small, yes, coup).
car(496, toyota, large, no, coup).
car(504, honda, small, no, coup).
car(510, benz, small, yes, coup).
car(518, mitsubishi, medium, no, suv).
car(521, toyota, large, no, suv).
car(532, toyota, large, no, coup).
car(533, toyota, large, no, suv).
car(544, toyota, large, no, coup).
car(555, toyota, small, yes, coup).
car(588, honda, small, no, coup).
car(589, mitsubishi, small, yes, coup).
car(596, bmw, small, yes, coup).
car(597, bmw, medium, yes, coup).
car(623, ford, large, no, suv).
car(640, toyota, large, no, coup).
car(649, mitsubishi, small, yes, coup).
car(659, ford, large, no, suv).
car(664, toyota, large, no, coup).
car(672, honda, small, no, coup).
car(675, toyota, small, yes, coup).
car(690, benz, small, yes, coup).
car(697, mitsubishi, small, yes, coup).
car(699, toyota, small, yes, coup).
car(732, honda, small, no, coup).
car(751, benz, large, no, suv).
car(771, toyota, small, yes, coup).
car(782, mitsubishi, medium, no, suv).
car(791, ford, large, no, suv).
car(794, mitsubishi, medium, no, suv).
car(795, toyota, small, yes, coup).
car(812, bmw, small, yes, coup).
car(829, mitsubishi, small, yes, coup).
car(843, toyota, small, yes, coup).
car(850, ford, small, yes, coup).
car(852, honda, small, no, coup).
car(854, mitsubishi, medium, no, suv).
car(856, toyota, large, no, coup).
car(857, toyota, large, no, suv).
car(858, benz, small, yes, coup).
car(864, honda, small, no, coup).
car(875, ford, large, no, suv).
car(878, mitsubishi, medium, no, suv).
car(894, benz, small, yes, coup).
car(899, ford, large, no, suv).
car(904, toyota, large, no, coup).
car(932, bmw, small, yes, coup).
car(937, mitsubishi, small, yes, coup).
car(945, bmw, medium, yes, coup).
car(961, mitsubishi, small, yes, coup).
car(967, benz, large, no, suv).
car(974, mitsubishi, medium, no, suv).
car(978, benz, small, yes, coup).
car(984, honda, small, no, coup).
car(1004, benz, large, no, suv).
car(1019, ford, large, no, suv).
car(1040, bmw, small, yes, coup).
car(1049, toyota, large, no, suv).
car(1051, benz, large, no, suv).
car(1062, benz, small, yes, coup).
car(1088, bmw, small, yes, coup).
car(1090, ford, small, yes, coup).
car(1094, mitsubishi, medium, no, suv).
car(1096, toyota, large, no, coup).
car(1106, mitsubishi, medium, no, suv).
car(1110, benz, small, yes, coup).
car(1117, mitsubishi, small, yes, coup).
car(1126, ford, small, yes, coup).
car(1134, benz, small, yes, coup).
car(1145, toyota, large, no, suv).
car(1162, ford, small, yes, coup).
car(1179, toyota, small, yes, coup).
car(1206, benz, small, yes, coup).
car(1208, bmw, small, yes, coup).
car(1214, mitsubishi, medium, no, suv).
car(1220, bmw, small, yes, coup).
car(1289, toyota, large, no, suv).
car(1303, benz, large, no, suv).
car(1306, ford, small, yes, coup).
