car(5, bmw, small, yes, coup).
car(6, bmw, medium, yes, coup).
car(11, benz, large, no, suv).
car(26, mitsubishi, medium, no, suv).
car(28, toyota, large, no, coup).
car(33, bmw, medium, yes, coup).
car(61, mitsubishi, small, yes, coup).
car(71, ford, large, no, suv).
car(94, ford, small, yes, coup).
car(107, ford, large, no, suv).
car(120, honda, small, no, coup).
car(124, toyota, large, no, coup).
car(127, benz, large, no, suv).
car(133, mitsubishi, small, yes, coup).
car(147, toyota, small, yes, coup).
car(157, mitsubishi, small, yes, coup).
car(164, bmw, small, yes, coup).
car(173, toyota, large, no, suv).
car(182, mitsubishi, medium, no, suv).
car(200, bmw, small, yes, coup).
car(223, benz, large, no, suv).
car(224, bmw, small, yes, coup).
car(231, toyota, small, yes, coup).
car(237, bmw, medium, yes, coup).
car(243, toyota, small, yes, coup).
car(247, benz, large, no, suv).
car(267, toyota, small, yes, coup).
car(276, honda, small, no, coup).
car(285, bmw, medium, yes, coup).
car(295, benz, large, no, suv).
car(304, toyota, large, no, coup).
car(335, ford, large, no, suv).
car(398, mitsubishi, medium, no, suv).
car(403, benz, large, no, suv).
car(439, benz, large, no, suv).
car(449, toyota, large, no, suv).
car(470, mitsubishi, medium, no, suv).
car(479, ford, large, no, suv).
car(489, bmw, medium, yes, coup).
car(497, toyota, large, no, suv).
car(498, benz, small, yes, coup).
car(506, mitsubishi, medium, no, suv).
car(541, mitsubishi, small, yes, coup).
car(546, benz, small, yes, coup).
car(558, benz, small, yes, coup).
car(565, mitsubishi, small, yes, coup).
car(567, toyota, small, yes, coup).
car(570, benz, small, yes, coup).
car(574, ford, small, yes, coup).
car(575, ford, large, no, suv).
car(578, mitsubishi, medium, no, suv).
car(584, bmw, small, yes, coup).
car(598, ford, small, yes, coup).
car(608, bmw, small, yes, coup).
car(619, benz, large, no, suv).
car(630, benz, small, yes, coup).
car(647, ford, large, no, suv).
car(660, honda, small, no, coup).
car(674, mitsubishi, medium, no, suv).
car(677, toyota, large, no, suv).
car(682, ford, small, yes, coup).
car(694, ford, small, yes, coup).
car(703, benz, large, no, suv).
car(723, toyota, small, yes, coup).
car(731, ford, large, no, suv).
car(735, toyota, small, yes, coup).
car(744, honda, small, no, coup).
car(746, mitsubishi, medium, no, suv).
car(749, toyota, large, no, suv).
car(756, honda, small, no, coup).
car(757, mitsubishi, small, yes, coup).
car(763, benz, large, no, suv).
car(769, mitsubishi, small, yes, coup).
car(770, mitsubishi, medium, no, suv).
car(781, mitsubishi, small, yes, coup).
car(790, ford, small, yes, coup).
car(796, toyota, large, no, coup).
car(798, benz, small, yes, coup).
car(800, bmw, small, yes, coup).
car(810, benz, small, yes, coup).
car(819, toyota, small, yes, coup).
car(831, toyota, small, yes, coup).
car(853, mitsubishi, small, yes, coup).
car(865, mitsubishi, small, yes, coup).
car(888, honda, small, no, coup).
car(896, bmw, small, yes, coup).
car(903, toyota, small, yes, coup).
car(912, honda, small, no, coup).
car(920, bmw, small, yes, coup).
car(924, honda, small, no, coup).
car(950, mitsubishi, medium, no, suv).
car(959, ford, large, no, suv).
car(966, benz, small, yes, coup).
car(969, bmw, medium, yes, coup).
car(976, toyota, large, no, coup).
car(982, ford, small, yes, coup).
car(986, mitsubishi, medium, no, suv).
car(990, benz, small, yes, coup).
car(991, benz, large, no, suv).
car(994, ford, small, yes, coup).
car(1009, mitsubishi, small, yes, coup).
car(1013, toyota, large, no, suv).
car(1015, benz, large, no, suv).
car(1037, toyota, large, no, suv).
car(1038, benz, small, yes, coup).
car(1044, honda, small, no, coup).
car(1058, mitsubishi, medium, no, suv).
car(1089, bmw, medium, yes, coup).
car(1098, benz, small, yes, coup).
car(1104, honda, small, no, coup).
car(1120, toyota, large, no, coup).
car(1128, honda, small, no, coup).
car(1130, mitsubishi, medium, no, suv).
car(1144, toyota, large, no, coup).
car(1156, toyota, large, no, coup).
car(1164, honda, small, no, coup).
car(1184, bmw, small, yes, coup).
car(1187, ford, large, no, suv).
car(1198, ford, small, yes, coup).
car(1201, mitsubishi, small, yes, coup).
car(1205, toyota, large, no, suv).
car(1231, benz, large, no, suv).
car(1268, bmw, small, yes, coup).
car(1271, ford, large, no, suv).
car(1275, toyota, small, yes, coup).
car(1276, toyota, large, no, coup).
car(1278, benz, small, yes, coup).
car(1286, mitsubishi, medium, no, suv).
car(1298, mitsubishi, medium, no, suv).
car(1299, toyota, small, yes, coup).
car(1326, benz, small, yes, coup).
car(1331, ford, large, no, suv).
car(1332, honda, small, no, coup).
car(1336, toyota, large, no, coup).
car(1338, benz, small, yes, coup).
car(1343, ford, large, no, suv).
car(1355, ford, large, no, suv).
car(1359, toyota, small, yes, coup).
car(1384, toyota, large, no, coup).
car(1388, bmw, small, yes, coup).
car(1416, honda, small, no, coup).
car(1419, toyota, small, yes, coup).
car(1443, toyota, small, yes, coup).
car(1453, mitsubishi, small, yes, coup).
car(1461, bmw, medium, yes, coup).
car(1471, benz, large, no, suv).
car(1472, bmw, small, yes, coup).
car(1484, bmw, small, yes, coup).
car(1489, mitsubishi, small, yes, coup).
car(1492, toyota, large, no, coup).
car(1504, toyota, large, no, coup).
car(1512, honda, small, no, coup).
car(1519, benz, large, no, suv).
car(1520, bmw, small, yes, coup).
car(1525, mitsubishi, small, yes, coup).
car(1535, ford, large, no, suv).
car(1558, ford, small, yes, coup).
car(1564, toyota, large, no, coup).
car(1582, ford, small, yes, coup).
car(1604, bmw, small, yes, coup).
car(1612, toyota, large, no, coup).
car(1614, benz, small, yes, coup).
car(1620, honda, small, no, coup).
car(1626, benz, small, yes, coup).
car(1646, mitsubishi, medium, no, suv).
car(1652, bmw, small, yes, coup).
car(1656, honda, small, no, coup).
car(1661, toyota, large, no, suv).
car(1669, mitsubishi, small, yes, coup).
car(1671, toyota, small, yes, coup).
car(1702, ford, small, yes, coup).
car(1711, benz, large, no, suv).
car(1738, ford, small, yes, coup).
car(1752, honda, small, no, coup).
car(1758, benz, small, yes, coup).
car(1760, bmw, small, yes, coup).
car(1764, honda, small, no, coup).
car(1766, mitsubishi, medium, no, suv).
car(1770, benz, small, yes, coup).
car(1775, ford, large, no, suv).
car(1789, mitsubishi, small, yes, coup).
car(1791, toyota, small, yes, coup).
car(1792, toyota, large, no, coup).
car(1801, mitsubishi, small, yes, coup).
car(1818, benz, small, yes, coup).
car(1820, bmw, small, yes, coup).
car(1851, toyota, small, yes, coup).
car(1865, toyota, large, no, suv).
car(1870, ford, small, yes, coup).
car(1880, bmw, small, yes, coup).
car(1901, toyota, large, no, suv).
car(1909, mitsubishi, small, yes, coup).
car(1914, benz, small, yes, coup).
car(1916, bmw, small, yes, coup).
car(1922, mitsubishi, medium, no, suv).
car(1943, ford, large, no, suv).
car(1952, bmw, small, yes, coup).
car(1953, bmw, medium, yes, coup).
car(1968, honda, small, no, coup).
car(1981, mitsubishi, small, yes, coup).
car(1989, bmw, medium, yes, coup).
car(1995, benz, small, yes, coup).
car(1996, bmw, small, yes, coup).
car(2002, toyota, large, no, suv).
car(2025, bmw, medium, yes, coup).
car(2028, honda, small, no, coup).
car(2046, benz, small, yes, coup).
car(2055, toyota, small, yes, coup).
car(2076, honda, small, no, coup).
car(2093, toyota, large, no, suv).
car(2107, benz, large, no, suv).
