helm1	raw	helm2
51.1764	165.907	66.5096
72.2173	172.233	66.8985
95.5776	188.563	67.6706
99.3407	193.267	72.7495
101.507	206.077	73.0214
108.295	209.894	75.8789
112.237	213.516	77.061
113.358	226.012	80.9798
114.794	231.73	81.8815
117.333	236.581	87.424
128.369	236.598	88.6299
128.979	240.489	88.9458
130.363	255.622	91.9155
131.053	258.89	92.6242
132.363	262.78	93.9996
134.147	266.175	94.1764
136.393	269.646	94.2559
137.524	270.443	94.6662
139.183	272.522	96
142.361	273.949	96.7213
143.259	280.087	99.3932
143.681	280.389	99.5031
144.534	294.57	100.491
144.542	299.968	101.847
145.701	303.6	102.084
155.09	304.173	103.188
157.131	306.565	103.321
157.756	307.236	105.1
157.874	310.259	105.823
158.59	317.636	106.641
158.751	317.768	106.956
160.122	320.837	107.061
160.377	321.628	108.88
160.583	321.76	109.015
160.798	322.133	109.644
162.123	324.013	111.482
162.501	325.811	111.762
166.943	327.155	111.913
167.267	329.027	112.062
170.134	332.658	112.749
171.079	333.075	112.89
174.344	345.525	113.22
174.773	348.874	113.745
174.978	350.764	114.19
175.607	360.146	114.368
175.821	366.863	117.082
176.603	374.27	117.771
177.438	374.58	117.88
178.71	375.387	118.409
178.919	377.684	118.804
181	379.018	119.93
182.803	380.616	120.037
182.875	381.694	120.963
183.027	384.941	122.032
183.194	385.32	122.048
183.197	385.709	122.636
183.527	387.842	122.684
185.79	389.227	124.604
185.87	390.536	124.674
186.222	392.426	125.207
186.725	398.921	126.428
187.189	401.035	127.585
188.039	401.246	127.724
188.3	407.142	127.857
188.332	408.81	127.952
188.579	409.023	128.306
189.707	409.384	129.6
189.832	410.427	129.713
190.248	412.352	129.945
194.213	414.725	130.039
195.048	415.737	130.789
195.21	416.364	131.32
196.555	416.846	131.98
197.162	417.929	132.106
197.436	419.035	133.304
198.477	422.862	135.434
199.625	425.489	136.058
200.525	426.721	136.767
200.962	429.311	137.278
201.099	431.328	137.689
201.279	431.861	137.901
203.331	432.661	138.033
205.536	433.305	138.053
205.997	434.786	138.075
206.428	438.282	138.549
206.919	442.509	138.827
207.806	443.738	139.099
209.751	445.042	139.129
211.851	445.496	139.377
213.456	447.018	139.698
213.566	448.071	140.304
213.778	452.556	140.382
214.178	453.219	140.468
214.347	454.838	140.51
215.969	460.796	140.697
216.53	464.095	140.934
217.525	465.684	141.049
217.935	465.698	141.745
221.52	465.834	142.058
223.398	469.853	143.099
223.95	470.658	143.825
224.105	470.776	143.858
225.836	471.447	143.96
226.36	472.254	144.589
226.549	476.302	144.941
227.163	481.06	145.154
228.884	482.307	146.169
229.787	482.721	146.457
229.922	487.871	146.766
230.646	495.563	148.125
232.213	495.939	148.208
232.429	496.563	148.411
235.323	497.529	148.727
236.152	499.316	149.383
236.488	500.925	149.418
237.175	504.956	149.501
237.408	505.831	149.65
237.509	509.773	151.14
238.322	510.902	151.244
238.511	511.039	152.461
239.243	513.19	152.607
239.556	517.074	152.937
239.777	521.989	153.455
240.643	528.013	153.61
241.601	528.346	154.245
241.835	530.366	154.924
242.099	533.914	155.475
242.481	534.675	155.517
243.144	536.747	155.847
244.382	537.201	155.849
244.615	538.136	156.188
244.672	538.815	156.421
244.854	538.863	156.915
245.034	539.195	157.717
246.218	540.544	158.352
246.416	544.982	158.697
246.943	545.893	159.215
248.179	546.018	159.356
248.949	548.5	160.17
250.711	548.575	160.559
250.826	548.752	160.677
250.998	549.791	161.657
251.305	552.896	161.741
251.699	553.787	161.764
252.384	554.104	162.137
253.193	554.242	162.232
253.323	557.49	162.269
253.975	558.221	162.574
253.993	560.451	163.651
255.011	563.225	164.057
255.189	563.263	164.17
255.198	563.433	164.901
255.919	567.768	165.624
256.756	569.663	165.658
258.322	574.727	165.711
258.57	575.337	166.012
259.158	576.744	166.823
259.239	576.965	167.079
259.277	578.524	168.334
259.326	578.991	168.612
263.304	579.68	169.367
264.465	581.465	169.544
264.501	581.757	169.837
265.756	586.124	170.116
267.44	587.805	170.129
267.909	589.022	170.569
268.515	589.578	171.844
268.828	592.833	171.939
268.89	595.651	172.097
269.34	596.489	172.468
270.708	597.274	172.899
271.238	598.782	173.294
271.789	599.552	173.971
272.289	604.555	174.979
272.552	608.693	175.036
273.272	609.052	175.075
273.94	610.688	175.746
