"PF_ID","PACT_ID","FM_ID","PF_EFFECT","PF_REFERENCE","PF_DESC","PF_NOTE","PF_ERROR","VERSION_ID","LAST_UPDATED","REPLACED_ID","DOCUMENT_REF"
"E20","P19","F11","0.01","","",,1.00,"V199",,"",
"E21","P19","F12","0.01","","",,1.00,"V199",,"",
"E22","P19","F13","0.01","","",,1.00,"V199",,"",
"E36","P34","F11","0.1","","",,1.00,"V199",,"",
"E42","P38","F11","1","","",,1.00,"V199",,"",
"E43","P39","F11",".3","","",,1.00,"V199",,"",
"E44","P38","F12","1","","",,1.00,"V199",,"",
"E50","P34","F12","1","","",,1.00,"V199",,"",
"E73","P38","F13","1","","",,1.00,"V199",,"",
"E74","P34","F13","1","","",,1.00,"V199",,"",
"E208","P193","F205","1","","",,1.00,"V199",,"",
"E209","P193","F206","0.3","","",,1.00,"V199",,"",
"E210","P193","F207","0.1","","",,1.00,"V199",,"",
"E215","P213","F214","0.0001","","",,1.00,"V199",,"",
"E229","P228","F227","0.01","","",,1.00,"V199",,"",
"E231","P192","F230","0.01","","",,1.00,"V199",,"",
"E265","P253","F14","1","","",,1.00,"V199",,"",
"E266","P34","F224","1","","",,1.00,"V199",,"",
"E267","P38","F224","1","","",,1.00,"V199",,"",
"E268","P57","F224","1","","",,1.00,"V199",,"",
"E269","P61","F224","1","","",,1.00,"V199",,"",
"E270","P253","F256","0.1","","",,1.00,"V199",,"",
"E311","P226","F273","1","","",,1.00,"V199",,"",
"E312","P226","F307","1","","",,1.00,"V199",,"",
"E313","P310","F307","0.001","","",,1.00,"V199",,"",
"E314","P309","F304","1","","",,1.00,"V199",,"",
"E315","P19","F72","0.001","","",,1.00,"V199",,"",
"E317","P33","F75","1","","",,1.00,"V199",,"",
"E319","P309","F303","0.01","","",,1.00,"V199",,"",
"E320","P309","F285",".3","","",,1.00,"V199",,"",
"E321","P309","F288","1","","",,1.00,"V199",,"",
"E323","P309","F293","1","","",,1.00,"V199",,"",
"E325","P309","F307","0.3","","",,1.00,"V199",,"",
"E330","P309","F306","0.9","","",,1.00,"V199",,"",
"E331","P309","F250","0.9","","",,1.00,"V199",,"",
"E332","P309","F249","0.9","","",,1.00,"V199",,"",
"E333","P57","F258","1","","",,1.00,"V199",,"",
"E335","P309","F305","0.99","","",,1.00,"V199",,"",
"E336","P309","F259","0.99","","",,1.00,"V199",,"",
"E337","P309","F258","0.99","","",,1.00,"V199",,"",
"E338","P309","F256","0.99","","",,1.00,"V199",,"",
"E360","P226","F359","0.99","","",,1.00,"V199",,"",
"E361","P146","F359","0.01","","",,1.00,"V199",,"",
"E362","P61","F359","1","","",,1.00,"V199",,"",
"E443","P56","F194","1","","",,1.00,"V199",,"",
"E472","P18","F339","1","","",,1.00,"V199",,"",
"E473","P18","F359","1","","",,1.00,"V199",,"",
"E474","P18","F258","1","","",,1.00,"V199",,"",
"E475","P17","F219","0.00009","","",,1.00,"V199",,"",
"E476","P309","F219","0.01","","",,1.00,"V199",,"",
"E477","P193","F359","1","","",,1.00,"V199",,"",
"E479","P253","F249","0.001","","",,1.00,"V199",,"",
"E480","P253","F251","0.001","","",,1.00,"V199",,"",
"E481","P253","F252","0.001","","",,1.00,"V199",,"",
"E483","P253","F306","0.001","","",,1.00,"V199",,"",
"E484","P292","F217","1","","",,1.00,"V199",,"",
"E485","P191","F249","1.0","","",,1.00,"V199",,"",
"E486","P191","F251","1.0","","",,1.00,"V199",,"",
"E487","P191","F252","1.0","","",,1.00,"V199",,"",
"E488","P191","F306","1.0","","",,1.00,"V199",,"",
"E489","P193","F305","1","","",,1.00,"V199",,"",
"E490","P192","F249","1","","",,1.00,"V199",,"",
"E491","P213","F249","1","","",,1.00,"V199",,"",
"E492","P228","F249","1","","",,1.00,"V199",,"",
"E493","P228","F219","0.01","","",,1.00,"V199",,"",
"E494","P253","F305","0.1","","",,1.00,"V199",,"",
"E495","P19","F359","1","","",,1.00,"V199",,"",
"E496","P61","F249","0.99","","",,1.00,"V199",,"",
"E497","P61","F306","0.01","","",,1.00,"V199",,"",
"E499","P61","F251","0.99","","",,1.00,"V199",,"",
"E500","P61","F252","0.99","","",,1.00,"V199",,"",
"E501","P57","F251","1","","",,1.00,"V199",,"",
"E502","P56","F251","1","","",,1.00,"V199",,"",
"E503","P310","F249","1","","",,1.00,"V199",,"",
"E508","P191","F305","0.3","","",,1.00,"V199",,"",
"E513","P310","F256","0.4","","",,1.00,"V199",,"",
"E519","P310","F258","0.1","","",,1.00,"V199",,"",
"E520","P310","F305","0.4","","",,1.00,"V199",,"",
"E522","P310","F259","1.0","","",,1.00,"V199",,"",
"E525","P191","F219","1","","",,1.00,"V199",,"",
"E526","P191","F256","0.3","","",,1.00,"V199",,"",
"E529","P34","F72","0.1","","",,1.00,"V199",,"",
"E530","P33","F285","1","","",,1.00,"V199",,"",
"E531","P19","F285","1","","",,1.00,"V199",,"",
"E532","P19","F288","1","","",,1.00,"V199",,"",
"E535","P191","F258","0.1","","",,1.00,"V199",,"",
"E536","P191","F259","0.9","","",,1.00,"V199",,"",
"E538","P228","F256","0.9","","",,1.00,"V199",,"",
"E539","P228","F258","1.0","","",,1.00,"V199",,"",
"E540","P228","F259","1.0","","",,1.00,"V199",,"",
"E541","P228","F305","0.9","","",,1.00,"V199",,"",
"E542","P308","F256","1","","",,1.00,"V199",,"",
"E543","P61","F256","0.8","","",,1.00,"V199",,"",
"E544","P61","F258","0.99","","",,1.00,"V199",,"",
"E545","P61","F259","1.0","","",,1.00,"V199",,"",
"E546","P61","F305","0.01","","",,1.00,"V199",,"",
"E548","P253","F259","0.001","","",,1.00,"V199",,"",
"E549","P253","F258","1.0","","",,1.00,"V199",,"",
"E553","P38","F217","1","","",,1.00,"V199",,"",
"E554","P355","F339","1","","",,1.00,"V199",,"",
"E555","P19","F11","0.000001","","",,1.00,"V199",,"",
"E556","P33","F306","0.05","","",,1.00,"V199",,"",
"E557","P191","F359","0.05","","",,1.00,"V199",,"",
"E558","P38","F252","1","","",,1.00,"V199",,"",
"E600","P253","F254","0.00001","","",,1.00,"V199",,"",
"E601","P310","F340","1","","",,1.00,"V199",,"",
"E603","P253","F218",".8","","",,1.00,"V199",,"",
"E604","P213","F218","1","","",,1.00,"V199",,"",
"E605","P228","F218","1","","",,1.00,"V199",,"",
"E606","P33","F224","1","","",,1.00,"V199",,"",
"E609","P193","F218","1","","",,1.00,"V199",,"",
"E612","P292","F291","1","","",,1.00,"V199",,"",
"E714","P17","F305","0.396","","",,1.00,"V199",,"",
"E715","P17","F258","0.099","","",,1.00,"V199",,"",
"E722","P721","F223","0.0","","",,1.00,"V199",,"",
"E730","P729","F223","0.001","","",,1.00,"V199",,"",
"E731","P664","F223","1","","",,1.00,"V199",,"",
"E750","P253","F225","1","","",,1.00,"V199",,"",
"E751","P749","F204","0.3","","",,1.00,"V199",,"",
"E752","P749","F739","0.01","","",,1.00,"V199",,"",
"E755","P308","F470","1","","",,1.00,"V199",,"",
"E756","P754","F214","1","","",,1.00,"V199",,"",
"E757","P754","F204","0.01","","",,1.00,"V199",,"",
"E758","P754","F738","0.01","","",,1.00,"V199",,"",
"E759","P61","F203","1","","",,1.00,"V199",,"",
"E803","P802","F775","0.001","","",,1.00,"V199",,"",
"E966","P228","F203","1","","",,1.00,"V199",,"",
"E967","P965","F203","0.1","","",,1.00,"V199",,"",
"E1027","P33","F223","1","","",,1.00,"V199",,"",
"E1029","P33","F214","1","","",,1.00,"V199",,"",
"E1030","P1028","F223","0.7","","",,1.00,"V199",,"",
"E1031","P226","F224","0.99","","",,1.00,"V199",,"",
"E1032","P1028","F723","0.7","","",,1.00,"V199",,"",
"E1033","P1028","F225","0.7","","",,1.00,"V199",,"",
"E1034","P1028","F203","0.1","","",,1.00,"V199",,"",
"E1035","P1028","F214","0.1","","",,1.00,"V199",,"",
"E1039","P1028","F212","0.9","","",,1.00,"V199",,"",
"E1040","P1028","F767","0.1","","",,1.00,"V199",,"",
"E1041","P1028","F768","0.9","","",,1.00,"V199",,"",
"E1042","P1028","F470","0.1","","",,1.00,"V199",,"",
"E1043","P1028","F739","0.3","","",,1.00,"V199",,"",
"E1044","P1028","F282","0.01","","",,1.00,"V199",,"",
"E1045","P1028","F283","0.01","","",,1.00,"V199",,"",
"E1046","P1028","F775","0.01","","",,1.00,"V199",,"",
"E1048","P1028","F286","0.01","","",,1.00,"V199",,"",
"E1049","P1028","F227","0.1","","",,1.00,"V199",,"",
"E1050","P1028","F289","0.1","","",,1.00,"V199",,"",
"E1051","P1028","F291","0.1","","",,1.00,"V199",,"",
"E1052","P1028","F297","0.01","","",,1.00,"V199",,"",
"E1053","P1028","F298","0.01","","",,1.00,"V199",,"",
"E1054","P1028","F299","0.01","","",,1.00,"V199",,"",
"E1055","P1028","F300","1","","",,1.00,"V199",,"",
"E1056","P1028","F304","0.1","","",,1.00,"V199",,"",
"E1057","P1028","F307","0.01","","",,1.00,"V199",,"",
"E1058","P1028","F339","0.01","","",,1.00,"V199",,"",
"E1059","P1028","F341","0.1","","",,1.00,"V199",,"",
"E1060","P1028","F344","0.03","","",,1.00,"V199",,"",
"E1061","P1028","F347","0.01","","",,1.00,"V199",,"",
"E1062","P1028","F359","0.01","","",,1.00,"V199",,"",
"E1063","P33","F249","0.95","","",,1.00,"V199",,"",
"E1066","P33","F256","0.95","","",,1.00,"V199",,"",
"E1067","P33","F305","0.05","","",,1.00,"V199",,"",
"E1068","P37","F14","0.03","","",,1.00,"V199",,"",
"E1069","P34","F75","0.03","","",,1.00,"V199",,"",
"E1071","P33","F272","0.3","","",,1.00,"V199",,"",
"E1072","P33","F273","0.99","","",,1.00,"V199",,"",
"E1073","P33","F284","0.99","","",,1.00,"V199",,"",
"E1074","P1028","F12","0.1","","",,1.00,"V199",,"",
"E1075","P1028","F13","0.1","","",,1.00,"V199",,"",
"E1076","P34","F227","0.01","","",,1.00,"V199",,"",
"E1079","P57","F304","0.01","","",,1.00,"V199",,"",
"E1080","P38","F230","0.1","","",,1.00,"V199",,"",
"E1081","P56","F300","0.01","","",,1.00,"V199",,"",
"E1082","P56","F301","0.1","","",,1.00,"V199",,"",
"E1083","P58","F298","0.3","","",,1.00,"V199",,"",
"E1084","P33","F345","1","","",,1.00,"V199",,"",
"E1085","P58","F345","1","","",,1.00,"V199",,"",
"E1086","P669","F345","0.3","","",,1.00,"V199",,"",
"E1087","P670","F345","0.3","","",,1.00,"V199",,"",
"E1088","P308","F286","1","","",,1.00,"V199",,"",
"E1089","P353","F13","1","","",,1.00,"V199",,"",
"E1090","P292","F13","1","","",,1.00,"V199",,"",
"E1091","P292","F289","0.1","","",,1.00,"V199",,"",
"E1092","P308","F307","0.01","","",,1.00,"V199",,"",
"E1093","P353","F249","0.3","","",,1.00,"V199",,"",
"E1094","P353","F252","0.1","","",,1.00,"V199",,"",
"E1120","P663","F298","0.3","","",,1.00,"V199",,"",
"E1121","P663","F299","0.3","","",,1.00,"V199",,"",
"E1123","P663","F297","0.3","","",,1.00,"V199",,"",
"E1124","P664","F283","0.03","","",,1.00,"V199",,"",
"E1125","P669","F283","0.1","","",,1.00,"V199",,"",
"E1126","P355","F283","0.3","","",,1.00,"V199",,"",
"E1127","P355","F775","0.3","","",,1.00,"V199",,"",
"E1128","P663","F282","0.1","","",,1.00,"V199",,"",
"E1130","P663","F283","0.1","","",,1.00,"V199",,"",
"E1131","P663","F775","0.1","","",,1.00,"V199",,"",
"E1136","P192","F284","0.3","","",,1.00,"V199",,"",
"E1137","P61","F284",".95","","",,1.00,"V199",,"",
"E1138","P309","F284","0.9","","",,1.00,"V199",,"",
"E1139","P310","F284","0.3","","",,1.00,"V199",,"",
