"ID","ORIGINAL_ID","CHECKED"
"F183","F183",0
"F185","F185",0
"F186","F186",0
"F187","F187",0
"F188","F188",0
"F189","F189",0
"F195","F195",0
"F196","F196",0
"F184","F184",1
"F194","F194",1
"F464","F464",1
"F223","F223",1
"F224","F224",1
"F723","F723",1
"F466","F466",1
"F225","F225",1
"F467","F467",1
"F203","F203",1
"F214","F214",1
"F468","F468",1
"F204","F204",1
"F206","F206",1
"F207","F207",1
"F212","F212",1
"F222","F222",1
"F767","F767",1
"F768","F768",1
"F470","F470",1
"F641","F641",1
"F205","F205",1
"F738","F738",1
"F739","F739",1
"F216","F216",1
"F282","F282",1
"F283","F283",1
"F775","F775",1
"F217","F217",1
"F14","F14",1
"F75","F75",1
"F230","F230",1
"F272","F272",1
"F273","F273",1
"F284","F284",1
"F303","F303",1
"F219","F219",1
"F72","F72",1
"F11","F11",1
"F12","F12",1
"F13","F13",1
"F285","F285",1
"F286","F286",1
"F287","F287",1
"F288","F288",1
"F227","F227",1
"F289","F289",1
"F290","F290",1
"F291","F291",1
"F293","F293",1
"F297","F297",1
"F298","F298",1
"F299","F299",1
"F300","F300",1
"F301","F301",1
"F304","F304",1
"F307","F307",1
"F339","F339",1
"F340","F340",1
"F341","F341",1
"F343","F343",1
"F344","F344",1
"F345","F345",1
"F347","F347",1
"F255","F255",1
"F218","F218",1
"F249","F249",1
"F250","F250",1
"F251","F251",1
"F252","F252",1
"F306","F306",1
"F359","F359",1
"F254","F254",1
"F256","F256",1
"F257","F257",1
"F258","F258",1
"F259","F259",1
"F305","F305",1
"F190","F190",0
"F166","F166",0
"F167","F167",0
"F168","F168",0
"F169","F169",0
"F170","F170",0
"F171","F171",0
"F172","F172",0
"F173","F173",0
"F174","F174",0
"F175","F175",0
"F176","F176",0
"F177","F177",0
"F178","F178",0
"F179","F179",0
"F180","F180",0
"F181","F181",0
"F182","F182",0
"F197","F197",0
