"ID","ORIGINAL_ID","CHECKED","REQ_COMPUTEDWEIGHT"
"R8","R8",1,10.00
"R10","R10",1,11.00
"R122","R122",1,1.00
"R238","R238",1,0.27
"R239","R239",1,0.27
"R262","R262",1,0.13
"R263","R263",1,0.02
"R264","R264",1,0.27
"R232","R232",0,0.00
"R233","R233",1,9.00
"R234","R234",1,8.00
"R235","R235",1,9.00
"R236","R236",1,10.00
"R237","R237",1,10.00
"R240","R240",1,10.00
"R271","R271",1,0.00
"R76","R76",1,0.00
"R77","R77",1,0.00
"R78","R78",1,0.00
"R79","R79",0,0.00
"R80","R80",0,0.00
"R81","R81",1,0.00
"R82","R82",0,0.00
"R83","R83",0,0.00
"R84","R84",0,0.00
"R85","R85",1,0.00
"R86","R86",1,0.00
"R87","R87",1,0.00
"R88","R88",1,0.00
"R89","R89",0,0.00
"R90","R90",0,0.00
"R91","R91",0,0.00
"R92","R92",0,0.00
"R93","R93",1,0.00
"R94","R94",1,0.00
"R96","R96",1,0.00
"R97","R97",0,0.00
"R98","R98",1,0.00
"R99","R99",1,0.00
"R100","R100",1,0.00
"R101","R101",0,0.00
"R102","R102",1,0.00
"R103","R103",0,0.00
"R104","R104",1,0.00
"R105","R105",1,0.00
"R106","R106",1,0.00
"R107","R107",1,0.00
"R108","R108",1,0.00
"R109","R109",1,0.00
"R110","R110",1,0.00
"R111","R111",1,0.00
"R112","R112",1,0.00
"R113","R113",1,0.00
"R114","R114",1,0.00
"R115","R115",0,0.00
"R116","R116",1,0.00
"R117","R117",1,0.00
"R118","R118",1,0.00
"R119","R119",0,0.00
"R120","R120",0,0.00
"R121","R121",0,0.00
"R407","R407",1,10.00
"R427","R427",0,0.00
"R440","R440",1,8.00
"R717","R717",1,10.00
"R959","R959",1,4.00
"R960","R960",1,10.00
