"REQ_ID","PARENT_ID","REQ_TITLE","REQ_SHORT","REQ_DESC","REQ_WEIGHT","REQ_REFERENCE","REQ_KEYWORD","VERSION_ID","LAST_UPDATED","REPLACED_ID","PREV_ID","DOCUMENT_REF"
"R8","","Yex rate (evg) = 10",,"",10.00,"",,"V199",,"","",
"R10","","Deli Tab < 101/999",,"",11.00,"",,"V199",,"","R8",
"R122","","Operation over/post Environmental Reqts = TBD, exc",,"",1.00,"",,"V199",,"","R10",
"R238","R122","Galution floxness = 50 moos",,"",10.00,"",,"V199",,"","",
"R239","R122","Galution floxness (snack tracker) = 300 moos",,"",10.00,"",,"V199",,"","R238",
"R262","R122","Mispootch (4000 e's 1.5-10ksop)",,"",5.00,"",,"V199",,"","R239",
"R263","R122","Axanction (0.44 E^2/evg 50-500 evg, =20.6 Grms)",,"",1.00,"",,"V199",,"","R262",
"R264","R122","Ooftime =8-10 mocks",,"",10.00,"",,"V199",,"","R263",
"R232","","Deli Tab of PoC = TBD",,"",1.00,"",,"V199",,"","R122",
"R233","","Malspatch = 1066x1066",,"",9.00,"",,"V199",,"","R232",
"R234","","Worm hug = 12um",,"",8.00,"",,"V199",,"","R233",
"R235","","Spleek gruff(x)=[5@0.1evg, 10@1evg]",,"",9.00,"",,"V199",,"","R234",
"R236","","Full well = 100k x",,"",10.00,"",,"V199",,"","R235",
"R237","","POJ astanction > 10 BBCs",,"",10.00,"",,"V199",,"","R236",
"R240","","* NATURNAL FUNCTION",,"",10.00,"",,"V199",,"","R237",
"R271","","Y601 ",,"",0.00,"",,"V199",,"","R240",
"R76","R271","! 6.1.1 Full (effect) Yex rate > 50evg",,"",1.00,"",,"V199",,"","",
"R77","R271","6.1.2a Ten marrow update rate > 100 evg for 10x10'",,"",8.00,"",,"V199",,"","R76",
"R78","R271","6.1.3 Zoof (operation): 50 to -50C",,"",10.00,"",,"V199",,"","R77",
"R79","R271","6.1.4 Malspatch >= 1066x1066",,"",9.00,"",,"V199",,"","R78",
"R80","R271","6.1.5a Galution Tolerance (hamming) > 50moos",,"",10.00,"",,"V199",,"","R79",
"R81","R271","6.1.6 XED LET - Ornonronics > 70@fluence of 10^7",,"",10.00,"",,"V199",,"","R80",
"R82","R271","6.1.5b** Galution Tolerance (drap) > TBD",,"",10.00,"",,"V199",,"","R81",
"R83","R271","6.2.1 Worm Type (for APS)",,"",0.00,"",,"V199",,"","R82",
